Id,area,bedrooms,bathrooms,price
188,10410,3,2,135000
189,7018,2,0,153337
190,4923,0,1,286000
191,10570,3,2,315000
192,7472,4,1,184000
193,9017,3,2,192000
194,2522,3,2,130000
195,7180,3,1,127000
196,2280,3,2,148500
197,9416,3,2,311872
198,25419,4,2,235000
199,5520,5,1,104000
200,9591,3,2,274900
201,8546,2,2,140000
202,10125,3,2,171500
203,7000,2,2,112000
204,4438,1,1,149000
205,3500,2,1,110000
206,11851,3,2,180500
207,13673,3,1,143900
208,12493,3,1,141000
209,14364,3,2,277000
210,8250,3,1,145000
211,5604,2,1,98000
212,10420,3,2,186000
213,8640,3,2,252678
214,13568,3,1,156000
215,10900,3,1,161750
216,10011,2,1,134450
217,8450,3,2,210000
218,9906,3,1,107000
219,15660,3,1,311500
220,3010,2,2,167240
221,8990,2,2,204900
222,8068,4,2,200000
223,11475,3,2,179900
224,10500,2,1,97000
225,13472,3,2,386250
226,1680,3,2,112000
227,9950,4,2,290000
228,1869,2,1,106000
229,8521,3,1,125000
230,3182,2,2,192500
231,8760,3,1,148000
232,15138,4,2,403000
233,1680,2,1,94500
234,10650,3,1,128200
235,7851,4,2,216500
236,1680,2,1,89500
237,8773,3,2,185500
238,9453,3,2,194500
239,12030,3,2,318000
240,8741,3,1,113000
241,9000,3,2,262500
242,3880,2,1,110500
243,5000,3,1,79000
244,10762,3,1,120000
245,8880,3,2,205000
246,10400,3,2,241500
247,9142,4,2,137000
248,11310,2,1,140000
249,11317,3,2,180000
250,159000,4,2,277000
251,5350,3,1,76500
252,4750,2,2,235000
253,8366,3,2,173000
254,9350,3,2,158000
255,8400,3,1,145000
256,8738,4,2,230000
257,8791,3,2,207500
258,8814,3,2,220000
259,12435,3,2,231500
260,12702,2,1,97000
261,19296,3,1,176000
262,9588,3,2,276000
263,8471,3,1,151000
264,5500,3,1,130000
265,5232,2,1,73000
266,12090,3,2,175500
267,11207,3,2,185000
268,8400,4,2,179500
269,6900,2,1,120500
270,7917,3,1,148000
271,10728,3,2,266000
272,39104,2,1,241500
273,11764,4,2,290000
274,9600,3,2,139000
275,8314,2,1,124500
276,7264,3,2,205000
277,9196,3,2,201000
278,19138,2,1,141000
279,14450,3,2,415298
280,10005,4,2,192000
281,11287,3,2,228500
282,7200,2,2,185000
283,5063,2,2,207500
284,9612,3,2,244600
285,8012,2,2,179200
286,4251,2,2,164700
287,9786,3,1,159000
288,8125,3,1,88000
289,9819,3,1,122000
290,8730,3,1,153575
291,15611,3,2,233230
292,5687,6,2,135900
293,11409,3,1,131000
294,16659,3,2,235000
295,9600,3,1,167000
296,7937,3,1,142500
297,13710,4,1,152000
298,7399,3,2,239000
299,11700,3,1,175000
300,14000,3,1,158500
301,15750,2,1,157000
302,16226,4,2,267000
303,13704,3,2,205000
304,9800,3,1,149900
305,18386,3,3,295000
306,10386,3,2,305900
307,13474,4,2,225000
308,7920,3,1,89500
309,12342,1,1,82500
310,12378,3,2,360000
311,7685,3,2,165600
312,8000,2,1,132000
313,7800,3,1,119900
314,215245,3,2,375000
315,9600,3,1,178000
316,7795,3,2,188500
317,13005,4,2,260000
318,9000,3,2,270000
319,9900,4,2,260000
320,14115,3,2,187500
321,16259,4,3,342643
322,12099,4,2,354000
323,10380,4,2,301000
324,5820,3,1,126175
325,11275,5,2,242000
326,5000,2,1,87000
327,10846,1,1,324000
328,11600,3,1,145250
329,11888,5,2,214500
330,6402,3,1,78000
331,10624,6,2,119000
332,8176,3,1,139000
333,10655,3,2,284000
334,8198,2,2,207000
335,9042,3,2,192000
336,164660,3,2,228950
337,14157,3,2,377426
338,9135,3,2,214000
339,14145,3,2,202500
340,12400,3,1,155000
341,14191,4,2,202900
342,8400,2,1,82000
343,8544,2,2,87500
344,8849,2,2,266000
345,2592,3,1,85000
346,6435,3,1,140200
347,12772,2,1,151500
348,17600,3,2,157500
349,2448,2,2,154000
350,20431,4,2,437154
351,7820,2,2,318061
352,5271,2,1,190000
353,9084,3,1,95000
354,8520,2,1,105900
355,8400,2,1,140000
356,11249,3,2,177500
357,9248,3,2,173000
358,4224,3,1,134000
359,6930,3,1,130000
360,12011,3,2,280000
361,7540,2,1,156000
362,9144,3,1,145000
363,7301,4,3,198500
364,1680,2,1,118000
365,18800,3,2,190000
366,10690,3,1,147000
367,9500,3,1,159000
368,9150,3,1,165000
369,7800,2,1,132000
370,9830,3,1,162000
371,8121,3,2,172400
372,17120,4,2,134432
373,7175,2,1,125000
374,10634,3,1,123000
375,8200,4,2,219500
376,10020,1,0,61000
377,8846,2,1,148000
378,11143,4,3,340000
379,11394,1,1,394432
380,8123,3,2,179000
381,5000,3,2,127000
382,7200,2,2,187750
383,9245,3,2,213500
384,9000,2,1,76000
385,53107,3,2,240000
386,3182,2,2,192000
387,8410,5,1,81000
388,7200,3,1,125000
389,9382,3,2,191000
390,12474,3,2,426000
391,8405,4,1,119000
392,12209,3,2,215000
393,8339,3,1,106500
394,7446,2,1,100000
395,10134,2,1,109000
396,9571,3,1,129000
397,7200,2,1,123000
398,7590,4,2,169500
399,8967,2,1,67000
400,8125,2,2,241000
401,14963,1,1,245500
402,8767,3,2,164990
403,10200,2,1,108000
404,12090,4,2,258000
405,10364,3,2,168000
406,9991,3,2,150000
407,10480,3,1,115000
408,15576,4,2,177000
409,14154,3,2,280000
410,10800,3,2,339750
411,9571,3,1,60000
412,34650,3,1,145000
413,4403,2,2,222000
414,8960,2,1,115000
415,11228,3,2,228000
416,8899,3,2,181134
417,7844,3,1,149500
418,22420,4,2,239000
419,8160,3,1,126000
420,8450,3,1,142000
421,7060,2,2,206300
422,16635,3,2,215000
423,21750,2,1,113000
424,9200,4,2,315000
425,9000,2,1,139000
426,3378,3,1,135000
427,12800,2,2,275000
428,8593,3,1,109008
429,6762,2,2,195400
430,11457,3,2,175000
431,1680,2,1,85400
432,5586,4,1,79900
433,1920,2,1,122500
434,10839,3,2,181000
435,1890,1,1,81000
436,10667,3,2,212000
437,4400,2,1,116000
438,6000,2,1,119000
439,4280,2,1,90350
440,12354,3,1,110000
441,15431,2,2,555000
442,12108,4,2,118000
443,6240,3,2,162900
444,3922,2,2,172500
445,8750,4,2,210000
446,9855,3,1,127500
447,16492,2,2,190000
448,11214,4,2,199900
449,8600,3,2,119500
450,6000,2,1,120000
451,5684,2,1,110000
452,70761,2,2,280000
453,9303,3,2,204000
454,9000,3,2,210000
455,9297,4,2,188000
456,9600,3,1,175500
457,4571,4,1,98000
458,53227,2,1,256000
459,5100,3,1,161000
460,7015,3,1,110000
461,8004,3,2,263435
462,7200,3,1,155000
463,8281,3,1,62383
464,11988,3,1,188700
465,8430,3,2,124000
466,3072,2,2,178740
467,10628,2,1,167000
468,9480,3,1,146500
469,11428,3,2,250000
470,9291,3,2,187000
471,6820,1,1,212000
472,11952,3,2,190000
473,3675,2,1,148000
474,14977,2,2,440000
475,5330,2,2,251000
476,8480,2,1,132500
477,13125,3,2,208900
478,13693,3,2,380000
479,10637,3,2,297000
480,5925,2,1,89471
481,16033,3,2,326000
482,11846,2,2,374000
483,2500,4,1,155000
484,4500,2,2,164000
485,7758,3,1,132500
486,9600,3,1,147000
487,10289,3,1,156000
488,12243,3,2,175000
489,10800,3,2,160000
490,1526,1,1,86000
491,2665,3,1,115000
492,9490,3,1,133000
493,15578,3,2,172785
494,7931,3,1,155000
495,5784,2,1,91300
496,7879,2,1,34900
497,12692,4,3,430000
498,9120,4,2,184000
499,7800,3,1,130000
500,7535,2,1,120000
501,1890,3,1,113000
502,9803,3,2,226700
503,9170,2,1,140000
504,15602,1,2,289000
505,2308,3,2,147000
506,7596,4,2,124500
507,9554,3,2,215000
508,7862,2,2,208300
509,9600,3,2,161000
510,9600,3,1,124500
511,14559,2,1,164900
512,6792,2,2,202665
513,9100,3,1,129900
514,9187,3,1,134000
515,10594,2,1,96500
516,12220,3,2,402861
517,10448,3,2,158000
518,10208,3,2,265000
519,9531,3,2,211000
520,10918,3,1,234000
521,10800,3,2,106250
522,11988,3,1,150000
523,5000,3,2,159000
524,40094,3,3,184750
525,11787,3,2,315750
526,7500,3,2,176000
527,13300,2,1,132000
528,14948,3,2,446261
529,9098,2,1,86000
530,32668,4,3,200624
531,10200,3,2,175000
532,6155,3,2,128000
533,7200,2,1,107500
534,5000,1,1,39300
535,9056,3,2,178000
536,7000,3,1,107500
537,8924,3,2,188000
538,12735,3,1,111250
539,11553,3,1,158000
540,11423,3,2,272000
541,14601,2,2,315000
542,11000,4,2,248000
543,10140,3,2,213250
544,4058,1,1,133000
545,17104,3,2,179665
546,13837,4,2,229000
547,8737,3,1,210000
548,7244,2,1,129500
549,8235,2,1,125000
550,9375,4,2,263000
551,4043,2,2,140000
552,6000,3,1,112500
553,11146,3,2,255500
554,8777,2,2,108000
555,10625,3,2,284000
556,6380,2,1,113000
557,14850,2,1,141000
558,11040,3,1,108000
559,21872,3,2,175000
560,3196,2,2,234000
561,11341,3,1,121500
562,10010,2,1,170000
563,13907,3,1,108000
564,21780,4,2,185000
565,13346,4,2,268000
566,6858,4,1,128000
567,11198,4,2,325000
568,10171,3,2,214000
569,12327,1,1,316600
570,7032,2,1,135960
571,13101,6,2,142600
572,7332,2,1,120000
573,13159,3,2,224500
574,9967,3,2,170000
575,10500,3,1,139000
576,8480,2,1,118500
577,6292,3,2,145000
578,11777,3,1,164500
579,3604,2,2,146000
580,12150,4,2,131500
581,14585,3,1,181900
582,12704,3,2,253293
583,11841,3,1,118500
584,13500,3,3,325000
585,6120,3,1,133000
586,11443,2,2,369900
587,10267,2,1,130000
588,8740,2,1,137000
589,25095,1,1,143000
590,9100,2,1,79500
591,8320,3,2,185900
592,13478,3,2,451950
593,6600,2,1,138000
594,4435,1,1,140000
595,7990,3,1,110000
596,11302,3,2,319000
597,3600,3,1,114504
598,3922,2,0,194201
599,12984,3,2,217500
600,1950,3,2,151000
601,10927,3,2,275000
602,9000,3,1,141000
603,10041,3,2,220000
604,3182,2,2,151000
605,12803,3,2,221000
606,13600,3,2,205000
607,12464,3,1,152000
608,7800,3,3,225000
609,12168,4,2,359100
610,7943,3,1,118500
611,11050,3,2,313000
612,10395,3,2,148000
613,11885,3,2,261500
614,8402,3,1,147000
615,1491,1,1,75500
616,8800,3,1,137500
617,7861,3,2,183200
618,7227,2,1,105500
619,11694,3,2,314813
620,12244,4,2,305000
621,8248,2,1,67000
622,10800,4,2,240000
623,7064,3,1,135000
624,2117,2,2,168500
625,10400,4,1,165150
626,10000,3,1,160000
627,12342,3,1,139900
628,9600,3,1,153000
629,11606,5,1,135000
630,9020,3,1,168500
631,9000,3,1,124000
632,4590,2,2,209500
633,11900,3,2,82500
634,9250,3,1,139400
635,6979,0,0,144000
636,10896,8,2,200000
637,6120,1,1,60000
638,6000,3,2,93000
639,8777,2,1,85000
640,3982,1,2,264561
641,12677,1,1,274000
642,7050,3,2,226000
643,13860,4,2,345000
644,10793,4,2,152000
645,9187,2,2,370878
646,10530,3,1,143250
647,7200,3,1,98300
648,10452,3,1,155000
649,7700,4,1,155000
650,1936,1,1,84500
651,8125,3,2,205950
652,9084,4,1,108000
653,8750,2,2,191000
654,10320,3,1,135000
655,10437,2,2,350000
656,1680,3,1,88000
657,10007,3,1,145500
658,7200,3,1,149000
659,17503,3,1,97500
660,9937,3,1,167000
661,12384,3,2,197900
662,46589,4,2,402000
663,13560,2,1,110000
664,10012,3,2,137500
665,20896,1,1,423000
666,11194,3,2,230500
667,18450,3,2,129000
668,8125,3,2,193500
669,14175,3,1,168000
670,11600,2,1,137500
671,8633,3,2,173500
672,6629,3,2,103600
673,11250,3,1,165000
674,14442,3,2,257500
675,9200,3,1,140000
676,2289,3,2,148500
677,9600,4,2,87000
678,9022,2,1,109500
679,11844,3,2,372500
680,9945,3,1,128500
681,8012,2,2,143000
682,4500,3,1,159434
683,2887,2,1,173000
684,11248,3,2,285000
685,16770,4,2,221000
686,5062,3,2,207500
687,10207,3,3,227875
688,5105,2,2,148800
689,8089,2,2,392000
690,7577,2,2,194700
691,4426,1,1,141000
692,21535,4,3,755000
693,26178,4,2,335000
694,5400,2,1,108480
695,6120,3,1,141500
696,13811,2,2,176000
697,6000,2,1,89000
698,6420,2,1,123500
699,8450,3,1,138500
700,4282,2,2,196000
701,14331,3,2,312500
702,9600,3,1,140000
703,12438,4,2,361919
704,7630,4,2,140000
705,8400,3,2,213000
706,5600,3,2,55000
707,115149,2,2,302000
708,6240,2,2,254000
709,9018,3,2,179540
710,7162,3,1,109900
711,4130,2,1,52000
712,8712,2,1,102776
713,4671,2,2,189000
714,9873,3,1,129000
715,13517,3,2,130500
716,10140,3,2,165000
717,10800,3,1,159500
718,10000,3,1,157000
719,10542,3,2,341000
720,9920,3,1,128500
721,6563,2,2,275000
722,4426,1,1,143000
723,8120,3,1,124500
724,8172,4,2,135000
725,13286,3,2,320000
726,6960,3,1,120500
727,21695,3,2,222000
728,7314,2,2,194500
729,11475,4,2,110000
730,6240,2,1,103000
731,5389,2,2,236500
732,9590,3,2,187500
733,11404,3,2,222500
734,10000,3,1,131400
735,8978,3,1,108000
736,10800,2,1,163000
737,8544,2,2,93500
738,10463,3,2,239900
739,10800,3,3,179000
740,9313,3,2,190000
741,9600,2,2,132000
742,6768,3,1,142000
743,8450,3,2,179000
744,12886,3,2,175000
745,5395,2,2,180000
746,8963,4,3,299800
747,8795,4,2,236000
748,11700,4,1,265979
749,10593,3,2,260400
750,8405,4,2,98000
751,8800,3,1,96500
752,7750,3,2,162000
753,9236,3,2,217000
754,10240,3,2,275500
755,7930,3,1,156000
756,3230,3,2,172500
757,10769,3,2,212000
758,11616,3,2,158900
759,2280,3,2,179400
760,12257,4,2,290000
761,9100,2,1,127500
762,6911,2,1,100000
763,8640,3,2,215200
764,9430,3,2,337000
765,9549,2,1,270000
766,14587,2,2,264132
767,10421,3,2,196500
768,12508,4,2,160000
769,9100,3,2,216837
770,53504,4,3,538000
771,7252,2,1,134900
772,8877,2,1,102000
773,7819,3,1,107000
774,10150,2,1,114500
775,14226,3,2,395000
776,4500,2,2,162000
777,11210,3,2,221500
778,13350,3,1,142500
779,8400,4,2,144000
780,10530,2,1,135000
781,7875,3,2,176000
782,7153,3,2,175900
783,16285,3,2,187100
784,9101,1,1,165500
785,6300,3,2,128000
786,9790,3,2,161500
787,10800,4,2,139000
788,10142,4,2,233000
789,6000,2,1,107900
790,12205,5,2,187500
791,3182,2,2,160200
792,11333,3,1,146800
793,9920,3,2,269790
794,9158,3,2,225000
795,10832,3,2,194500
796,8400,3,2,171000
797,8197,3,1,143500
798,7677,2,1,110000
799,13518,4,3,485000
800,7200,3,1,175000
801,12798,4,2,200000
802,4800,2,1,109900
803,8199,3,2,189000
804,13891,4,3,582933
805,9000,2,1,118000
806,12274,3,2,227680
807,9750,3,2,135500
808,21384,3,1,223500
809,13400,3,1,159950
810,8100,2,2,106000
811,10140,3,1,181000
812,4438,1,1,144500
813,8712,2,1,55993
814,9750,4,1,157900
815,8248,3,1,116000
816,12137,3,2,224900
817,11425,2,1,137000
818,13265,3,2,271000
819,8816,3,1,155000
820,6371,2,2,224000
821,7226,3,2,183000
822,6000,2,1,93000
823,12394,3,2,225000
824,9900,3,2,139500
825,11216,3,2,232600
826,14803,2,2,385000
827,6130,2,1,109500
828,8529,3,2,189000
829,28698,3,2,185000
830,2544,2,2,147400
831,11900,3,1,166000
832,3180,2,2,151000
833,9548,3,2,237000
834,10004,3,1,167000
835,7875,3,1,139950
836,9600,2,2,128000
837,8100,2,1,153500
838,1680,2,1,100000
839,9525,3,1,144000
840,11767,3,1,130500
841,12155,4,2,140000
842,10440,3,2,157500
843,9020,3,1,174900
844,8000,6,2,141000
845,12665,4,1,153900
846,16647,3,2,171000
847,9317,3,2,213000
848,15523,3,1,133500
849,45600,5,3,240000
850,9600,3,2,187000
851,4435,1,1,131500
852,3196,2,2,215000
853,7128,4,2,164000
854,12095,3,1,158000
855,17920,3,1,170000
856,6897,3,1,127000
857,10970,3,1,147000
858,8125,3,2,174000
859,10400,3,2,152000
860,11029,4,2,250000
861,7642,3,1,189950
862,11625,3,1,131500
863,9672,3,2,152000
864,7931,3,1,132500
865,8640,3,2,250580
866,8750,3,1,148500
867,10656,3,2,248900
868,6970,3,1,129000
869,14762,2,2,169000
870,9938,3,2,236000
871,6600,2,1,109500
872,8750,3,2,200500
873,8892,3,1,116000
874,12144,3,1,133000
875,5720,3,1,66500
876,9000,4,2,303477
877,25286,3,1,132250
878,8834,4,2,350000
879,11782,3,1,148000
880,7000,3,1,136500
881,7024,2,1,157000
882,13758,3,2,187500
883,9636,3,2,178000
884,6204,5,1,118500
885,7150,3,1,100000
886,5119,2,2,328900
887,8393,4,2,145000
888,16466,3,1,135500
889,15865,4,2,268000
890,12160,2,1,149500
891,8064,3,1,122900
892,11184,3,2,172500
893,8414,3,1,154500
894,13284,3,1,165000
895,7018,4,2,118858
896,7056,4,1,140000
897,8765,2,1,106500
898,7018,6,2,142953
899,12919,2,2,611657
900,6993,3,1,135000
901,7340,2,1,110000
902,8712,2,1,153000
903,7875,3,2,180000
904,14859,3,2,240000
905,6173,3,1,125500
906,9920,3,1,128000
907,13501,3,2,255000
908,11500,3,1,250000
909,8885,2,1,131000
910,12589,3,2,174000
911,11600,5,2,154300
912,9286,3,1,143500
913,6120,3,1,88000
914,6270,4,2,145000
915,3000,2,2,173733
916,2001,3,1,75000
917,9000,1,0,35311
918,17140,3,1,135000
919,13125,4,2,238000
920,11029,3,1,176500
921,8462,3,2,201000
922,8777,4,2,145900
923,10237,3,2,169990
924,8012,2,2,193000
925,10240,3,2,207500
926,15611,3,2,175000
927,11999,4,2,285000
928,9900,4,2,176000
929,11838,3,2,236500
930,13006,4,2,222000
931,8925,3,2,201000
932,9100,2,1,117500
933,11670,3,2,320000
934,8487,3,2,190000
935,27650,4,2,242000
936,5825,1,1,79900
937,10083,2,2,184900
938,9675,3,2,253000
939,8760,3,2,239799
940,24090,4,2,244400
941,12640,4,2,150900
942,8755,3,2,214000
943,7711,4,2,150000
944,25000,4,2,143000
945,14375,3,1,137500
946,8820,2,1,124900
947,8163,3,1,143000
948,14536,3,2,270000
949,14006,3,2,192500
950,9360,3,1,197500
951,7200,3,1,129000
952,7800,3,1,119900
953,7200,2,1,133900
954,11075,4,2,172000
955,9400,4,2,127500
956,7136,4,2,145000
957,1300,2,1,124000
958,7420,3,1,132000
959,8450,3,2,185000
960,2572,3,2,155000
961,7207,2,1,116500
962,12227,4,2,272000
963,2308,3,2,155000
964,11923,2,2,239000
965,11316,4,2,214900
966,10237,3,2,178900
967,9600,2,1,160000
968,7390,3,1,135000
969,5925,2,1,37900
970,10382,2,1,140000
971,10800,4,1,135000
972,2268,2,2,173000
973,7892,2,2,99500
974,11639,3,2,182000
975,11414,3,1,167500
976,2651,3,2,165000
977,5900,2,1,85500
978,4274,1,1,199900
979,9450,3,1,110000
980,8816,3,1,139000
981,12122,3,1,178400
982,12203,4,2,336000
983,3182,2,2,159895
984,11250,4,2,255900
985,10125,4,2,126000
986,10880,3,1,125000
987,5310,2,1,117000
988,10159,3,2,395192
989,12046,4,2,195000
990,8125,3,2,197000
991,9452,3,2,348000
992,17671,4,1,168000
993,9760,3,2,187000
994,8846,3,2,173900
995,12456,3,2,337500
996,4712,3,1,121600
997,10659,3,1,136500
998,11717,2,2,185000
999,9786,3,1,91000
1000,6762,2,2,206000
1001,10206,2,1,82000
1002,5400,2,1,86000
1003,11957,3,2,232000
1004,11500,4,2,136905
1005,3182,1,2,181000
1006,8385,3,2,149900
1007,12155,3,2,163500
1008,2217,3,1,88000
1009,12118,3,2,240000
1010,6000,4,2,102000
1011,21286,4,2,135000
1012,9825,4,2,100000
1013,10592,3,1,165000
1014,7200,2,1,85000
1015,11664,2,1,119200
1016,8400,3,2,227000
1017,11883,3,2,203000
1018,5814,1,1,187500
1019,10784,3,2,160000
1020,3013,2,2,213490
1021,7024,2,1,176000
1022,7406,2,2,194000
1023,9439,2,1,87000
1024,3182,2,2,191000
1025,15498,2,2,287000
1026,7700,3,1,112500
1027,9300,3,1,167500
1028,9520,3,2,293077
1029,9492,3,1,105000
1030,1680,3,1,118000
1031,7082,5,2,160000
1032,15863,5,2,197000
1033,14541,5,2,310000
1034,8125,3,2,230000
1035,6305,2,1,119750
1036,11500,3,1,84000
1037,12898,2,2,315500
1038,9240,3,2,287000
1039,1533,3,1,97000
1040,1477,1,1,80000
1041,13125,3,2,155000
1042,9130,4,1,173000
1043,5381,1,2,196000
1044,11839,4,2,262280
1045,9600,4,2,278000
1046,13680,4,2,139600
1047,16056,4,3,556581
1048,9245,3,1,145000
1049,21750,3,1,115000
1050,11100,2,1,84900
1051,8993,3,2,176485
1052,11175,3,2,200141
1053,9500,4,1,165000
1054,8562,4,1,144500
1055,11367,3,2,255000
1056,11361,3,2,180000
1057,7052,2,2,185850
1058,29959,3,2,248000
1059,11308,3,2,335000
1060,11275,3,1,220000
1061,4920,2,2,213500
1062,18000,2,1,81000
1063,13600,5,2,90000
1064,6000,2,1,110500
1065,11000,3,1,154000
1066,14000,3,2,328000
1067,7837,3,2,178000
1068,9760,4,1,167900
1069,3964,5,2,151400
1070,9600,2,1,135000
1071,10152,3,1,135000
1072,11700,4,1,154000
1073,7585,4,1,91500
1074,7950,3,1,159500
1075,8556,2,2,194000
1076,13125,3,1,219500
1077,10800,3,2,170000
1078,15870,3,1,138800
1079,4435,1,1,155900
1080,8775,3,1,126000
1081,11040,3,2,145000
1082,7500,3,1,133000
1083,8749,3,2,192000
1084,8800,3,1,160000
1085,13031,3,2,187500
1086,9069,2,1,147000
1087,1974,3,1,83500
1088,10574,3,2,252000
1089,2522,3,2,137500
1090,3316,1,1,197000
1091,8544,2,2,92900
1092,2160,2,2,160000
1093,8400,4,2,136500
1094,9230,1,1,146000
1095,5868,2,1,129000
1096,9317,3,2,176432
1097,6882,3,1,127000
1098,3696,2,1,170000
1099,6000,3,1,128000
1100,11880,3,2,157000
1101,8400,1,1,60000
1102,9758,3,1,119500
1103,7000,2,1,135000
1104,8910,3,1,159500
1105,2016,3,2,106000
1106,12256,3,2,325000
1107,10357,3,2,179900
1108,23257,3,2,274725
1109,8063,3,2,181000
1110,11362,3,2,280000
1111,8000,3,2,188000
1112,10480,4,2,205000
1113,7100,2,1,129900
1114,8923,2,1,134500
1115,5400,2,1,117000
1116,12085,3,2,318000
1117,7750,3,2,184100
1118,9764,3,1,130000
1119,13825,3,1,140000
1120,7560,3,1,133700
1121,8263,2,1,118400
1122,10084,3,2,212900
1123,8926,3,1,112000
1124,9405,2,1,118000
1125,9125,3,2,163900
1126,10434,2,1,115000
1127,3684,2,2,174000
1128,14572,3,2,259000
1129,11796,4,2,215000
1130,7200,2,1,140000
1131,7804,4,2,135000
1132,10712,3,1,93500
1133,9900,5,2,117500
1134,9828,3,2,239500
1135,8773,3,2,169000
1136,6180,2,1,102000
1137,9600,3,1,119000
1138,6342,2,1,94000
1139,9819,2,2,196000
1140,8731,3,1,144000
1141,7350,2,1,139000
1142,10304,4,2,197500
1143,9965,4,3,424870
1144,9000,3,1,80000
1145,12180,2,1,80000
1146,6240,3,1,149000
1147,11200,3,2,180000
1148,12000,3,1,174500
1149,5700,2,1,116900
1150,9000,3,1,143000
